5	D 	D C 	S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S S S S S S S S 	1
5	D 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S D 	1
5	C 	D C 	S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
5	C 	D C 	S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S D S S S 	1
5	D 	D C 	S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
5	C 	D C 	S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S D S S 	4
5	C 	D C 	S S S S S S S S S S S S S S D S S S S S S S S D S S S S S S S S S S S S S S D S S S S S S S S S S S 	1
5	C 	D C 	S S S S S S S D S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S 	1
5	C 	D C 	S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S 	1
5	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S 	1
5	D 	D C 	S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	2
5	D 	D C 	S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S 	2
5	D 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S D S S S S S 	1
5	C 	D C 	S D S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S 	1
5	C 	D C 	D S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S C S S S S S S S S S S S S S S 	1
5	C 	D C 	S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C C S S S S S S S S S S S S 	1
5	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S C S S S S S S S S S S S S S S 	1
5	C C 	D C D C 	C S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S 	1
5	C C 	D C D C 	C S S S S S D S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
5	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S S C S 	1
5	D 	D C 	S S S S S S S S S S C S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
5	C 	D C 	S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S D S 	1
5	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S D S C S S S S S S S S S S D S S 	1
5	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S C S 	1
5	C 	D C 	S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S D S S S S S S S S S S S S S S S S S S 	1
5	D 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S 	1
5	C 	D C 	S S D S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
5	C 	D C 	D S S S S D S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
5	D 	D C 	S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
5	D 	D C 	S S S S S S S D S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
5	C 	D C 	S S S S S D S S S S C S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
5	D 	D C 	S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
5	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S 	4
5	C 	D C 	S S S S S S S S S S S S S S S S S S S D S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S 	1
5	C 	D C 	S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S D S S S S S S S C S S S S 	1
5	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S S 	2
5	D 	D C 	S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S C S 	1
5	C 	D D 	S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
5	C C 	D C D C 	S S S S S D S S S S D S S S S C S C S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S S 	1
5	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S D 	1
5	C 	D C 	S S S S S S S S S S S S S S S S C S S S S S S D S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
5	D 	D C 	S S S C D S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S S S 	1
5	D 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	2
5	C C 	D C D C 	S S S S S S S S S S S S S S S S D S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S 	1
5	C 	D C 	S D S S S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
5	D 	D C 	S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C D S S S S S S S S S S S C 	1
5	C 	D C 	S D S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S 	1
5	D 	D C 	S S S C S S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S S S S S S S S S S S S S S 	1
5	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S 	2
5	D 	D C 	S S S S S S S S S S D S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
5	D 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S D S 	1
5	C 	D C 	S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	2
5	C 	D C 	S S S S S D C S S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S S S S S S S S S S S 	1
5	D D 	D C D C 	C S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S 	1
